Actual				Predicted
1.0				1.2
1.0				1.2
1.0				1.2
1.0				1.3
1.0				1.3
1.0				1.3
1.0				1.3
1.0				1.3
1.0				1.4
1.0				1.4
1.0				1.4
1.0				1.4
1.0				1.4
1.0				1.4
1.0				1.4
1.0				1.5
1.0				1.5
1.0				1.5
1.0				1.5
1.0				1.5
1.0				1.5
1.0				1.5
1.0				1.5
1.0				1.5
1.0				1.5
1.0				1.5
1.0				1.5
1.0				1.5
1.0				1.5
1.0				1.5
1.0				1.5
1.0				1.6
1.0				1.6
1.0				1.6
1.0				1.6
1.0				1.6
1.0				1.6
1.0				1.6
1.0				1.6
1.0				1.6
1.0				1.6
1.0				1.6
1.0				1.6
1.0				1.6
1.0				1.6
1.0				1.6
1.0				1.6
1.0				1.7
1.0				1.7
1.0				1.7
1.0				1.7
1.0				1.7
1.0				1.7
1.0				1.7
1.0				1.7
1.0				1.7
1.0				1.7
1.0				1.7
1.0				1.7
1.0				1.8
1.0				1.8
1.0				1.8
1.0				1.8
1.0				1.8
1.0				1.8
1.0				1.8
1.0				1.8
1.0				1.8
1.0				1.8
1.0				1.8
1.0				1.8
1.0				1.8
1.0				1.8
1.0				1.8
1.0				1.8
1.0				1.8
1.0				1.8
1.0				1.8
1.0				1.8
1.0				1.8
1.0				1.9
1.0				1.9
1.0				1.9
1.0				1.9
1.0				1.9
1.0				1.9
1.0				1.9
1.0				1.9
1.0				1.9
1.0				1.9
1.0				1.9
1.0				1.9
1.0				1.9
1.0				1.9
1.0				1.9
1.0				1.9
1.0				1.9
1.0				1.9
1.0				1.9
1.0				2.0
1.0				2.0
1.0				2.0
1.0				2.0
1.0				2.0
1.0				2.0
1.0				2.0
1.0				2.0
1.0				2.0
1.0				2.0
1.0				2.0
1.0				2.0
1.0				2.0
1.0				2.0
1.0				2.0
1.0				2.0
1.0				2.0
1.0				2.0
1.0				2.0
1.0				2.0
1.0				2.1
1.0				2.1
1.0				2.1
1.0				2.1
1.0				2.1
1.0				2.1
1.0				2.1
1.0				2.1
1.0				2.1
1.0				2.1
1.0				2.1
1.0				2.1
1.0				2.1
1.0				2.2
1.0				2.2
1.0				2.2
1.0				2.2
1.0				2.2
1.0				2.2
1.0				2.2
1.0				2.2
1.0				2.2
1.0				2.2
1.0				2.2
1.0				2.2
1.0				2.2
1.0				2.2
1.0				2.2
1.0				2.2
1.0				2.2
1.0				2.2
1.0				2.3
1.0				2.3
1.0				2.3
1.0				2.3
1.0				2.3
1.0				2.3
1.0				2.3
1.0				2.3
1.0				2.3
1.0				2.3
1.0				2.3
1.0				2.3
1.0				2.4
1.0				2.4
1.0				2.4
1.0				2.4
1.0				2.4
1.0				2.4
1.0				2.4
1.0				2.4
1.0				2.4
1.0				2.4
1.0				2.5
1.0				2.5
1.0				2.5
1.0				2.5
1.0				2.5
1.0				2.5
1.0				2.5
1.0				2.5
1.0				2.5
1.0				2.6
1.0				2.6
1.0				2.6
1.0				2.6
1.0				2.6
1.0				2.6
1.0				2.6
1.0				2.7
1.0				2.7
1.0				2.7
1.0				2.7
1.0				2.7
1.0				2.7
1.0				2.7
1.0				2.7
1.0				2.7
1.0				2.7
1.0				2.8
1.0				2.8
1.0				2.8
1.0				2.8
1.0				2.8
1.0				2.8
1.0				2.8
1.0				2.8
1.0				2.8
1.0				2.8
1.0				2.9
1.0				2.9
1.0				2.9
1.0				2.9
1.0				2.9
1.0				2.9
1.0				2.9
1.0				3.0
1.0				3.0
1.0				3.0
1.0				3.1
1.0				3.1
1.0				3.1
1.0				3.1
1.0				3.1
